table	index	run_accession	Renamed
CML69	CML69	SRR5911876	Day
CML69	CML69	SRR5911718	Night
HP301	HP301	SRR5911938	Root
HP301	HP301	SRR5911939	Shoot
HP301	HP301	SRR5911935	Kern
HP301	HP301	SRR5911937	Base
HP301	HP301	SRR5911936	Tip
HP301	HP301	SRR5911940	Day
HP301	HP301	SRR5911941	Night
Il14H	Il14H	SRR5911629	Root
Il14H	Il14H	SRR5911631	Shoot
Il14H	Il14H	SRR5911768	Kern
Il14H	Il14H	SRR5911771	Kern
Il14H	Il14H	SRR5911769	Base
Il14H	Il14H	SRR5911637	Tip
Il14H	Il14H	SRR5911628	Day
Il14H	Il14H	SRR5911636	Night
Ki11	Ki11	SRR5911973	Root
Ki11	Ki11	SRR5911972	Shoot
Ki11	Ki11	SRR5911974	Base
Ki11	Ki11	SRR5911975	Tip
Ki11	Ki11	SRR5911845	Day
Ki11	Ki11	SRR5911844	Night
Ki3	Ki3	SRR5911457	Root
Ki3	Ki3	SRR5911456	Shoot
Ki3	Ki3	SRR5911331	Kern
Ki3	Ki3	SRR5911517	Base
Ki3	Ki3	SRR5911516	Tip
Ki3	Ki3	SRR5911458	Day
Ki3	Ki3	SRR5911459	Night
Ky21	Ky21	SRR5911131	Root
Ky21	Ky21	SRR5911130	Shoot
Ky21	Ky21	SRR5911124	Kern
Ky21	Ky21	SRR5911133	Base
Ky21	Ky21	SRR5911132	Tip
Ky21	Ky21	SRR5911128	Day
Ky21	Ky21	SRR5911129	Night
M162W	M162W	SRR5911042	Root
M162W	M162W	SRR5911047	Kern
M162W	M162W	SRR5911041	Base
M162W	M162W	SRR5911048	Tip
M162W	M162W	SRR5911044	Day
M162W	M162W	SRR5911043	Night
M37W	M37W	SRR5911049	Root
M37W	M37W	SRR5911050	Shoot
M37W	M37W	SRR5910691	Kern
M37W	M37W	SRR5910670	Base
M37W	M37W	SRR5910871	Mid
M37W	M37W	SRR5910673	Tip
M37W	M37W	SRR5911046	Day
M37W	M37W	SRR5911045	Night
MS71	MS71	SRR5911335	Root
Ms71	Ms71	SRR5911336	Shoot
MS71	MS71	SRR5911221	Kern
MS71	MS71	SRR5911530	Kern
Ms71	Ms71	SRR5911334	Base
Ms71	Ms71	SRR5911531	Tip
MS71	MS71	SRR5911330	Day
MS71	MS71	SRR5911337	Night
NC350	NC350	SRR5910876	Root
NC350	NC350	SRR5910875	Shoot
NC350	NC350	SRR5910874	Base
NC350	NC350	SRR5910873	Tip
NC350	NC350	SRR5910877	Day
NC350	NC350	SRR5910878	Night
NC358	NC358	SRR5910711	Root
NC358	NC358	SRR5910710	Shoot
NC358	NC358	SRR5910714	Kern
NC358	NC358	SRR5910713	Base
NC358	NC358	SRR5910712	Tip
NC358	NC358	SRR5910738	Day
NC358	NC358	SRR5910737	Night
Oh43	Oh43	SRR5911226	Root
Oh43	Oh43	SRR5911213	Shoot
Oh43	Oh43	SRR5911550	Kern
Oh43	Oh43	SRR5911551	Tip
Oh43	Oh43	SRR5911219	Day
Oh43	Oh43	SRR5911220	Night
Oh7B	Oh7B	SRR5910798	Root
Oh7B	Oh7B	SRR5910669	Shoot
Oh7B	Oh7B	SRR5910795	Kern
Oh7B	Oh7B	SRR5910797	Base
Oh7B	Oh7B	SRR5910796	Tip
Oh7B	Oh7B	SRR5910663	Day
Oh7B	Oh7B	SRR5910668	Night
P39	P39	SRR5911599	Kern
P39	P39	SRR5911601	Base
P39	P39	SRR5911600	Tip
P39	P39	SRR5911004	Day
P39	P39	SRR5911602	Night
Tx303	Tx303	SRR5911175	Root
Tx303	Tx303	SRR5911174	Base
Tx303	Tx303	SRR5911167	Tip
Tx303	Tx303	SRR5911173	Day
Tx303	Tx303	SRR5911172	Night
W22	W22	SRR5911200	Root
W22	W22	SRR5911197	Shoot
W22	W22	SRR5911553	Kern
W22	W22	SRR5911199	Base
W22	W22	SRR5911202	Mid
W22	W22	SRR5911201	Tip
W22	W22	SRR5911198	Night
